FileName_tmp,OuterArea_tmp,NecroticArea_tmp,CellLine,DaysSinceSeeding,Condition,Radius,NecroticRadius
983b D10 100%.oir,184420.0,50817.0,WM983b,10,M100:F0,301.15208225812773,158.08343818291175
983b D10 100%_0001.oir,187740.0,49250.0,WM983b,10,M100:F0,303.8507189521201,155.62701191056402
983b D10 100%_0002.oir,199659.0,48403.0,WM983b,10,M100:F0,313.3475528355711,154.28297386237912
983b D10 100%_0003.oir,181797.0,40335.0,WM983b,10,M100:F0,299.0027740910858,140.83898682509786
983b D10 100%_0004.oir,183209.0,37669.0,WM983b,10,M100:F0,300.1616911912459,136.10494584442637
983b D10 100%_0005.oir,199213.0,48457.0,WM983b,10,M100:F0,312.9973779343009,154.3690114862895
983b D10 100%_0006.oir,188065.0,50761.0,WM983b,10,M100:F0,304.11360587820377,157.99631071789284
983b D10 100%_0007.oir,177587.0,45175.0,WM983b,10,M100:F0,295.5203870295498,149.0496436786328
983b D10 25%.oir,148058.0,28739.0,WM983b,10,M25:F75,269.8347017316212,118.88243385080757
983b D10 25%_0001.oir,121143.0,21158.0,WM983b,10,M25:F75,244.0793419240825,102.00446160447723
983b D10 25%_0002.oir,148325.0,28073.0,WM983b,10,M25:F75,270.0778949859091,117.49686371387921
983b D10 25%_0003.oir,153214.0,21047.0,WM983b,10,M25:F75,274.4928819745321,101.73653967284146
983b D10 25%_0004.oir,133458.0,21510.0,WM983b,10,M25:F75,256.1852772759093,102.84947205241161
983b D10 25%_0005.oir,142954.0,28166.0,WM983b,10,M25:F75,265.142909394359,117.69132410987362
983b D10 25%_0006.oir,162393.0,20146.0,WM983b,10,M25:F75,282.5956770133888,99.53510440431424
983b D10 25%_0007.oir,135889.0,15089.0,WM983b,10,M25:F75,258.5080150003249,86.14143272732613
983b D10 50%.oir,163555.0,38362.0,WM983b,10,M50:F50,283.60492878724006,137.35120756922848
983b D10 50%_0001.oir,170453.0,23152.0,WM983b,10,M50:F50,289.5237439403397,106.70287431291926
983b D10 50%_0002.oir,151643.0,22679.0,WM983b,10,M50:F50,273.0819814185897,105.60726902362323
983b D10 50%_0003.oir,172489.0,34102.0,WM983b,10,M50:F50,291.2477397768091,129.5006017780708
983b D10 50%_0004.oir,164882.0,28050.0,WM983b,10,M50:F50,284.7531158112685,117.44872169820502
983b D10 50%_0005.oir,154074.0,34694.0,WM983b,10,M50:F50,275.2621770276051,130.61981026947046
983b D10 50%_0006.oir,153102.0,35064.0,WM983b,10,M50:F50,274.39253597748126,131.3144715694017
983b D10 50%_0007.oir,140683.0,31030.0,WM983b,10,M50:F50,263.028417442117,123.53008757627214
983b D10 75%.oir,157228.0,38448.0,WM983b,10,M75:F25,278.06530657981233,137.5050784715041
983b D10 75%_0001.oir,167808.0,27242.0,WM983b,10,M75:F25,287.26862270155806,115.74476455051399
983b D10 75%_0002.oir,178464.0,45465.0,WM983b,10,M75:F25,296.2491909186418,149.52728893486184
983b D10 75%_0003.oir,169737.0,37917.0,WM983b,10,M75:F25,288.91502144015436,136.55224538010108
983b D10 75%_0004.oir,174357.0,40423.0,WM983b,10,M75:F25,292.8205523237258,140.9925393007737
983b D10 75%_0005.oir,185145.0,45370.0,WM983b,10,M75:F25,301.7434527659412,149.3709871569487
983b D10 75%_0006.oir,193925.0,36089.0,WM983b,10,M75:F25,308.8152663078948,133.21995592588095
983b D10 75%_0007.oir,167057.0,29779.0,WM983b,10,M75:F25,286.6250876673963,121.01436224831308
983b D2 100%.oir,81183.0,0.0,WM983b,2,M100:F0,199.80870704868977,0.0
983b D2 100%_0001.oir,77172.0,0.0,WM983b,2,M100:F0,194.81022113732863,0.0
983b D2 100%_0002.oir,81499.0,0.0,WM983b,2,M100:F0,200.19720112367517,0.0
983b D2 100%_0003.oir,90610.0,0.0,WM983b,2,M100:F0,211.0911018007945,0.0
983b D2 100%_0004.oir,80578.0,0.0,WM983b,2,M100:F0,199.06279763837895,0.0
983b D2 100%_0005.oir,75663.0,0.0,WM983b,2,M100:F0,192.8961856521577,0.0
983b D2 100%_0006.oir,83364.0,0.0,WM983b,2,M100:F0,202.47487241650205,0.0
983b D2 100%_0007.oir,78945.0,0.0,WM983b,2,M100:F0,197.03536196753737,0.0
983b D2 25%.oir,53296.0,0.0,WM983b,2,M25:F75,161.89340939688077,0.0
983b D2 25%_0001.oir,52154.0,0.0,WM983b,2,M25:F75,160.14953162184156,0.0
983b D2 25%_0002.oir,56510.0,0.0,WM983b,2,M25:F75,166.70342210771145,0.0
983b D2 25%_0003.oir,54830.0,0.0,WM983b,2,M25:F75,164.2067420188819,0.0
983b D2 25%_0004.oir,51889.0,0.0,WM983b,2,M25:F75,159.74214509984324,0.0
983b D2 25%_0005.oir,53944.0,0.0,WM983b,2,M25:F75,162.874627266992,0.0
983b D2 25%_0006.oir,56742.0,0.0,WM983b,2,M25:F75,167.04526939368148,0.0
983b D2 25%_0007.oir,56053.0,0.0,WM983b,2,M25:F75,166.02798311446898,0.0
983b D2 50%_0001.oir,60293.0,0.0,WM983b,2,M50:F50,172.1929269702797,0.0
983b D2 50%_0002.oir,60080.0,0.0,WM983b,2,M50:F50,171.8885007224158,0.0
983b D2 50%_0003.oir,64048.0,0.0,WM983b,2,M50:F50,177.47396327667215,0.0
983b D2 50%_0004.oir,64326.0,0.0,WM983b,2,M50:F50,177.85870862464498,0.0
983b D2 50%_0005.oir,61236.0,0.0,WM983b,2,M50:F50,173.53427619599287,0.0
983b D2 50%_0006.oir,59949.0,0.0,WM983b,2,M50:F50,171.70100337410727,0.0
983b D2 50%_0007.oir,60335.0,0.0,WM983b,2,M50:F50,172.25289117759746,0.0
983b D2 75%.oir,65895.0,0.0,WM983b,2,M75:F25,180.01475042056114,0.0
983b D2 75%_0001.oir,64681.0,0.0,WM983b,2,M75:F25,178.34881346286906,0.0
983b D2 75%_0002.oir,69033.0,0.0,WM983b,2,M75:F25,184.25116184078195,0.0
983b D2 75%_0003.oir,67899.0,0.0,WM983b,2,M75:F25,182.73155525948673,0.0
983b D2 75%_0004.oir,74408.0,0.0,WM983b,2,M75:F25,191.28974014634014,0.0
983b D2 75%_0005.oir,66664.0,0.0,WM983b,2,M75:F25,181.06209700531645,0.0
983b D2 75%_0006.oir,68408.0,0.0,WM983b,2,M75:F25,183.41519346149593,0.0
983b D2 75%_0007.oir,65363.0,0.0,WM983b,2,M75:F25,179.2866077261609,0.0
983b D3 100%.oir,102237.0,0.0,WM983b,3,M100:F0,224.22596932666153,0.0
983b D3 100%_0001.oir,101090.0,37141.0,WM983b,3,M100:F0,222.9646226051408,0.0
983b D3 100%_0002.oir,108917.0,0.0,WM983b,3,M100:F0,231.43535105019592,0.0
983b D3 100%_0003.oir,96759.0,0.0,WM983b,3,M100:F0,218.13610147706564,0.0
983b D3 100%_0004.oir,100261.0,0.0,WM983b,3,M100:F0,222.04851725589114,0.0
983b D3 100%_0005.oir,88575.0,0.0,WM983b,3,M100:F0,208.70720498229164,0.0
983b D3 100%_0006.oir,101273.0,0.0,WM983b,3,M100:F0,223.16634422327513,0.0
983b D3 25%.oir,62378.0,0.0,WM983b,3,M25:F75,175.1449358169341,0.0
983b D3 25%_0001.oir,56204.0,0.0,WM983b,3,M25:F75,166.2514623583572,0.0
983b D3 25%_0002.oir,57867.0,0.0,WM983b,3,M25:F75,168.69311020814004,0.0
983b D3 25%_0003.oir,55741.0,0.0,WM983b,3,M25:F75,165.56526912198737,0.0
983b D3 25%_0004.oir,63708.0,0.0,WM983b,3,M25:F75,177.0022745330537,0.0
983b D3 25%_0005.oir,57340.0,0.0,WM983b,3,M25:F75,167.92320159004336,0.0
983b D3 50%.oir,74845.0,0.0,WM983b,3,M50:F50,191.85064245998404,0.0
983b D3 50%_0001.oir,76803.0,0.0,WM983b,3,M50:F50,194.3439178949822,0.0
983b D3 50%_0002.oir,72246.0,0.0,WM983b,3,M50:F50,188.49019551169854,0.0
983b D3 50%_0003.oir,66946.0,0.0,WM983b,3,M50:F50,181.44465451514748,0.0
983b D3 50%_0004.oir,71031.0,0.0,WM983b,3,M50:F50,186.89850434596642,0.0
983b D3 50%_0005.oir,69516.0,0.0,WM983b,3,M50:F50,184.8946091016266,0.0
983b D3 75%.oir,68521.0,0.0,WM983b,3,M75:F25,183.56661847668414,0.0
983b D3 75%_0001.oir,76675.0,0.0,WM983b,3,M75:F25,194.18190342458078,0.0
983b D3 75%_0002.oir,85509.0,0.0,WM983b,3,M75:F25,205.06322127268953,0.0
983b D3 75%_0003.oir,80261.0,0.0,WM983b,3,M75:F25,198.67084765113034,0.0
983b D3 75%_0004.oir,84961.0,0.0,WM983b,3,M75:F25,204.4050726108873,0.0
983b D3 75%_0005.oir,83353.0,0.0,WM983b,3,M75:F25,202.46151355012827,0.0
983b D3 75%_0006.oir,73093.0,0.0,WM983b,3,M75:F25,189.59188963779442,0.0
983b D3 75%_0007.oir,75089.0,0.0,WM983b,3,M75:F25,192.16311133950737,0.0
983b D6 100%.oir,138855.0,20347.0,WM983b,6,M100:F0,261.3139669452264,100.0304111947182
983b D6 100%_0001.oir,142812.0,26288.0,WM983b,6,M100:F0,265.0111899337658,113.70004447452446
983b D6 100%_0002.oir,144738.0,22546.0,WM983b,6,M100:F0,266.79221034220404,105.29714908710622
983b D6 100%_0003.oir,154767.0,20011.0,WM983b,6,M100:F0,275.8805249367698,99.20104737446661
983b D6 100%_0004.oir,145973.0,18880.0,WM983b,6,M100:F0,267.9280161066907,96.35690823085996
983b D6 100%_0005.oir,147744.0,17824.0,WM983b,6,M100:F0,269.5484184281922,93.62340851031205
983b D6 100%_0006.oir,150161.0,14178.0,WM983b,6,M100:F0,271.7442963463945,83.5005521977908
983b D6 100%_0007.oir,168468.0,13798.0,WM983b,6,M100:F0,287.83299159938406,82.37395759257099
983b D6 25%.oir,89294.0,0.0,WM983b,6,M25:F75,209.552574354822,0.0
983b D6 25%_0001.oir,86404.0,0.0,WM983b,6,M25:F75,206.1335988699203,0.0
983b D6 25%_0002.oir,91626.0,0.0,WM983b,6,M25:F75,212.27127343467072,0.0
983b D6 25%_0003.oir,99422.0,0.0,WM983b,6,M25:F75,221.1174967714499,0.0
983b D6 25%_0004.oir,91852.0,0.0,WM983b,6,M25:F75,212.53290093176113,0.0
983b D6 25%_0005.oir,82321.0,0.0,WM983b,6,M25:F75,201.20426400118393,0.0
983b D6 25%_0006.oir,94373.0,0.0,WM983b,6,M25:F75,215.42978201106393,0.0
983b D6 25%_0007.oir,90826.0,0.0,WM983b,6,M25:F75,211.34255603926977,0.0
983b D6 50%.oir,123685.0,0.0,WM983b,6,M50:F50,246.62686261472507,52.454462690725244
983b D6 50%_0001.oir,122867.0,0.0,WM983b,6,M50:F50,245.8099671216353,34.74235294865525
983b D6 50%_0002.oir,125954.0,0.0,WM983b,6,M50:F50,248.87876534439872,60.24160532706111
983b D6 50%_0003.oir,118110.0,8763.0,WM983b,6,M50:F50,241.00452471792923,55.90318830399977
983b D6 50%_0004.oir,120490.0,0.0,WM983b,6,M50:F50,243.42061969623768,0.0
983b D6 50%_0005.oir,111141.0,0.0,WM983b,6,M50:F50,233.7862751653777,41.669898357598356
983b D6 50%_0006.oir,119823.0,11609.0,WM983b,6,M50:F50,242.7459293699715,69.61514215419095
983b D6 50%_0007.oir,114330.0,0.0,WM983b,6,M50:F50,237.11660231643643,0.0
983b D6 75%.oir,123024.0,0.0,WM983b,6,M75:F25,245.96696551989666,86.80639340295666
983b D6 75%_0001.oir,128081.0,15568.0,WM983b,6,M75:F25,250.97139020917766,87.49802957678479
983b D6 75%_0002.oir,129814.0,11443.0,WM983b,6,M75:F25,252.66356965936473,75.01563855999406
983b D6 75%_0003.oir,134561.0,0.0,WM983b,6,M75:F25,257.24175538913306,94.88454468891304
983b D6 75%_0004.oir,120120.0,0.0,WM983b,6,M75:F25,243.0465850090917,0.0
983b D6 75%_0005.oir,119851.0,0.0,WM983b,6,M75:F25,242.77428990592057,57.12541424931833
983b D6 75%_0006.oir,134776.0,0.0,WM983b,6,M75:F25,257.44718230640166,95.92882157919688
983b D6 75%_0007.oir,125783.0,0.0,WM983b,6,M75:F25,248.7097642671258,88.82179084585748
983b D8 100%.oir,176537.0,32926.0,WM983b,8,M100:F0,294.64544564419464,127.24811231726054
983b D8 100%_0001.oir,178293.0,27938.0,WM983b,8,M100:F0,296.1072274065712,117.21400843760671
983b D8 100%_0002.oir,178779.0,35602.0,WM983b,8,M100:F0,296.5105247260517,132.3180400930522
983b D8 100%_0003.oir,175327.0,38589.0,WM983b,8,M100:F0,293.6339466430341,137.7569832913519
983b D8 100%_0004.oir,175209.0,33599.0,WM983b,8,M100:F0,293.535118061094,128.54199542331713
983b D8 100%_0005.oir,182221.0,37953.0,WM983b,8,M100:F0,299.35124888050535,136.61705423300472
983b D8 100%_0006.oir,178878.0,37137.0,WM983b,8,M100:F0,296.59261065129164,135.14042187403297
983b D8 100%_0007.oir,187294.0,38600.0,WM983b,8,M100:F0,303.48958653210303,137.77661607327937
983b D8 25%.oir,113361.0,8235.0,WM983b,8,M25:F75,236.1096273090408,63.637581064812906
983b D8 25%_0001.oir,114134.0,10446.0,WM983b,8,M25:F75,236.91326640494762,71.67321277056008
983b D8 25%_0002.oir,121650.0,12690.0,WM983b,8,M25:F75,244.58956133741563,78.99737721682519
983b D8 25%_0003.oir,113214.0,11545.0,WM983b,8,M25:F75,235.9564909817954,75.34923200630638
983b D8 25%_0004.oir,104557.0,14384.0,WM983b,8,M25:F75,226.75580734424204,84.10497745032652
983b D8 25%_0005.oir,99515.0,25674.0,WM983b,8,M25:F75,221.22088998693042,112.36437227795483
983b D8 25%_0006.oir,117905.0,12840.0,WM983b,8,M25:F75,240.7952817059472,79.46289319207915
983b D8 25%_0007.oir,132115.0,16185.0,WM983b,8,M25:F75,254.8930101247915,89.21506852351956
983b D8 50%.oir,159722.0,9369.0,WM983b,8,M50:F50,280.2620093421019,67.87791301968412
983b D8 50%_0001.oir,156126.0,0.0,WM983b,8,M50:F50,277.0891229775944,99.00361773822948
983b D8 50%_0002.oir,169907.0,18137.0,WM983b,8,M50:F50,289.0596665731703,94.4418722316882
983b D8 50%_0003.oir,152969.0,10661.0,WM983b,8,M50:F50,274.27332742247773,72.40704655402698
983b D8 50%_0004.oir,149080.0,12741.0,WM983b,8,M50:F50,270.76439418097254,79.15595981873778
983b D8 50%_0005.oir,146387.0,15459.0,WM983b,8,M50:F50,268.30768790302284,87.19118098199608
983b D8 50%_0006.oir,158019.0,10597.0,WM983b,8,M50:F50,278.76388989331235,72.18938279337095
983b D8 50%_0007.oir,158496.0,8036.0,WM983b,8,M50:F50,279.1843145882721,62.86397308955964
983b D8 75%.oir,168885.0,27796.0,WM983b,8,M75:F25,288.1890003830755,116.91574813521306
983b D8 75%_0001.oir,149651.0,26764.0,WM983b,8,M75:F25,271.28243385798953,114.7248166059372
983b D8 75%_0002.oir,161779.0,29941.0,WM983b,8,M75:F25,282.0609308475131,121.34307940986919
983b D8 75%_0003.oir,163306.0,26403.0,WM983b,8,M75:F25,283.38896313277087,113.94847030033483
983b D8 75%_0004.oir,163883.0,27940.0,WM983b,8,M75:F25,283.88916291518615,117.21820386715645
983b D8 75%_0005.oir,155886.0,25204.0,WM983b,8,M75:F25,276.8760676056762,111.33112483557542
983b D8 75%_0006.oir,161794.0,14117.0,WM983b,8,M75:F25,282.07400675939175,83.3207304966367
983b D8 75%_0007.oir,171527.0,20212.0,WM983b,8,M75:F25,290.4344355313798,99.69801379765715
